"Statistic","Year","United Kingdom Inflows","United Kingdom Outflows","United Kingdom Net","Rest of World Inflows","Rest of World Outflows","Rest of World Net","Total Inflows","Total Outflows","Total Net"
"Migration Flows",2002,12510,11589,921,6488,6393,95,18998,17982,1016
"Migration Flows",2003,11107,11005,102,6810,6683,127,17917,17688,229
"Migration Flows",2004,12245,11858,387,8174,6996,1178,20419,18854,1565
"Migration Flows",2005,13298,11291,2007,12544,8861,3683,25842,20152,5690
"Migration Flows",2006,12380,11510,870,15803,8797,7006,28183,20307,7876
"Migration Flows",2007,12932,11142,1790,19773,10633,9140,32705,21775,10930
"Migration Flows",2008,12141,10707,1434,18261,11981,6280,30402,22688,7714
"Migration Flows",2009,10857,10198,659,14404,11406,2998,25261,21604,3657
"Migration Flows",2010,10667,11279,-612,13877,12115,1762,24544,23394,1150
"Migration Flows",2011,10323,11121,-798,13401,14097,-696,23724,25218,-1494
"Migration Flows",2012,10333,12090,-1757,12922,11694,1228,23255,23784,-529
"Migration Flows",2013,10364,11815,-1451,12736,12921,-185,23100,24736,-1636
"Migration Flows",2014,11081,11747,-666,13300,10542,2758,24381,22289,2092
"Migration Flows",2015,10473,11236,-763,13093,9782,3311,23566,21018,2548
"Migration Flows",2016,10806,10806,0,12998,11115,1883,23804,21921,1883
"Migration Flows",2017,10759,10167,592,11310,10469,841,22069,20636,1433
"Migration Flows",2018,10450,10235,215,13100,9078,4022,23550,19313,4237
"Migration Flows",2019,11447,10333,1114,14191,10392,3799,25638,20725,4913
"Migration Flows",2020,10044,11570,-1526,11181,13003,-1822,21225,24573,-3348
"Migration Flows",2021,13159,15550,-2391,13296,11308,1988,26455,26858,-403
"Migration Flows",2022,10094,12800,-2706,16922,11902,5020,27016,24702,2314
"Migration Flows",2023,11738,11777,-39,18797,11235,7562,30535,23012,7523
"Migration Flows",2024,11387,11589,-202,16851,10880,5971,28238,22469,5769
