"Statistic Label","Year","Sex Label","Age 85","Age 86","Age 87","Age 88","Age 89","Age 90","Age 91","Age 92","Age 93","Age 94","Age 95","Age 96","Age 97","Age 98","Age 99","Age 100","Age 101","Age 102","Age 103","Age 104","Age 105+"
"Mid-year population estimate",2001,"Females",2815,2663,2277,1995,1695,1362,1098,856,705,520,376,254,164,103,76,52,24,30,8,3,9
"Mid-year population estimate",2001,"Males",1304,1127,948,794,598,442,345,266,199,143,85,61,27,16,9,6,3,1,1,0,0
"Mid-year population estimate",2001,"All persons",4119,3790,3225,2789,2293,1804,1443,1122,904,663,461,315,191,119,85,58,27,31,9,3,9
"Mid-year population estimate",2002,"Females",2673,2559,2364,2013,1746,1439,1138,904,687,555,392,267,172,125,73,44,31,18,17,4,6
"Mid-year population estimate",2002,"Males",1266,1131,957,806,645,483,353,251,219,156,107,53,41,17,10,1,1,2,0,1,0
"Mid-year population estimate",2002,"All persons",3939,3690,3321,2819,2391,1922,1491,1155,906,711,499,320,213,142,83,45,32,20,17,5,6
"Mid-year population estimate",2003,"Females",2667,2380,2277,2050,1734,1485,1206,937,743,536,419,284,188,117,92,49,30,20,9,7,5
"Mid-year population estimate",2003,"Males",1328,1079,953,808,649,534,378,267,181,157,102,76,26,28,7,6,0,1,1,0,0
"Mid-year population estimate",2003,"All persons",3995,3459,3230,2858,2383,2019,1584,1204,924,693,521,360,214,145,99,55,30,21,10,7,5
"Mid-year population estimate",2004,"Females",2943,2432,2122,1996,1795,1463,1238,971,734,565,409,299,207,118,77,59,26,16,12,8,7
"Mid-year population estimate",2004,"Males",1518,1132,920,784,658,539,435,273,205,138,113,71,51,13,20,7,1,0,1,0,0
"Mid-year population estimate",2004,"All persons",4461,3564,3042,2780,2453,2002,1673,1244,939,703,522,370,258,131,97,66,27,16,13,8,7
"Mid-year population estimate",2005,"Females",3409,2646,2189,1882,1746,1563,1250,1006,780,587,436,312,213,135,83,51,35,13,11,4,10
"Mid-year population estimate",2005,"Males",1809,1317,972,776,646,549,432,348,196,156,95,76,57,41,6,13,5,0,0,0,0
"Mid-year population estimate",2005,"All persons",5218,3963,3161,2658,2392,2112,1682,1354,976,743,531,388,270,176,89,64,40,13,11,4,10
"Mid-year population estimate",2006,"Females",3345,3066,2379,1954,1665,1508,1310,1038,796,613,459,329,234,152,85,57,31,21,6,8,9
"Mid-year population estimate",2006,"Males",1749,1577,1137,826,645,573,443,331,257,139,105,71,46,35,32,5,3,1,0,0,0
"Mid-year population estimate",2006,"All persons",5094,4643,3516,2780,2310,2081,1753,1369,1053,752,564,400,280,187,117,62,34,22,6,8,9
"Mid-year population estimate",2007,"Females",3423,3046,2749,2104,1699,1436,1260,1096,826,620,474,344,235,168,105,56,36,22,11,2,11
"Mid-year population estimate",2007,"Males",1684,1506,1354,968,675,517,439,339,246,193,99,78,50,25,21,24,3,1,1,0,0
"Mid-year population estimate",2007,"All persons",5107,4552,4103,3072,2374,1953,1699,1435,1072,813,573,422,285,193,126,80,39,23,12,2,11
"Mid-year population estimate",2008,"Females",3500,3121,2737,2394,1800,1469,1234,1038,868,655,494,360,247,156,112,71,39,24,13,8,5
"Mid-year population estimate",2008,"Males",1762,1479,1314,1114,807,583,425,356,247,170,127,66,58,27,16,15,16,2,0,1,0
"Mid-year population estimate",2008,"All persons",5262,4600,4051,3508,2607,2052,1659,1394,1115,825,621,426,305,183,128,86,55,26,13,9,5
"Mid-year population estimate",2009,"Females",3407,3144,2831,2451,2050,1526,1262,1022,828,705,512,398,264,169,103,72,43,28,12,6,5
"Mid-year population estimate",2009,"Males",1828,1550,1274,1123,904,639,469,327,267,188,112,88,37,39,17,14,8,8,1,0,1
