"Statistic Label","Year","Rounded","Unrounded"
"Population totals",1971,1540400,1540413
"Population totals",1972,1539000,1538977
"Population totals",1973,1530000,1529993
"Population totals",1974,1526900,1526942
"Population totals",1975,1523500,1523518
"Population totals",1976,1523500,1523521
"Population totals",1977,1523300,1523310
"Population totals",1978,1523200,1523225
"Population totals",1979,1528300,1528253
"Population totals",1980,1532800,1532773
"Population totals",1981,1543000,1542964
"Population totals",1982,1544500,1544545
"Population totals",1983,1550600,1550560
"Population totals",1984,1557300,1557317
"Population totals",1985,1565400,1565352
"Population totals",1986,1573500,1573501
"Population totals",1987,1582000,1581954
"Population totals",1988,1585400,1585440
"Population totals",1989,1590400,1590435
"Population totals",1990,1595600,1595595
"Population totals",1991,1607300,1607295
"Population totals",1992,1623300,1623263
"Population totals",1993,1635600,1635552
"Population totals",1994,1643700,1643707
"Population totals",1995,1649100,1649131
"Population totals",1996,1661800,1661751
"Population totals",1997,1671300,1671261
"Population totals",1998,1677800,1677769
"Population totals",1999,1679000,1679006
"Population totals",2000,1682900,1682944
"Population totals",2001,1688800,1688838
"Population totals",2002,1697500,1697534
"Population totals",2003,1704900,1704924
"Population totals",2004,1714000,1714042
"Population totals",2005,1727700,1727733
"Population totals",2006,1743100,1743113
"Population totals",2007,1761700,1761683
"Population totals",2008,1779200,1779152
"Population totals",2009,1793300,1793333
"Population totals",2010,1804800,1804833
"Population totals",2011,1814300,1814318
"Population totals",2012,1824600,1824603
"Population totals",2013,1831700,1831677
"Population totals",2014,1843200,1843186
"Population totals",2015,1854900,1854943
"Population totals",2016,1866000,1866042
"Population totals",2017,1875200,1875178
"Population totals",2018,1886300,1886259
"Population totals",2019,1898500,1898519
"Population totals",2020,1900500,1900523
"Population totals",2021,1904600,1904564
"Population totals",2022,1910500,1910543
"Population totals",2023,1920400,1920382
"Population totals",2024,1927900,1927855
