"Statistic","Year","Local Government District","Rounded","Unrounded"
"Population totals",2001,"Antrim and Newtownabbey",128800,128760
"Population totals",2001,"Armagh City, Banbridge and Craigavon",176000,176014
"Population totals",2001,"Belfast",328700,328695
"Population totals",2001,"Causeway Coast and Glens",131400,131374
"Population totals",2001,"Derry City and Strabane",143800,143810
"Population totals",2001,"Fermanagh and Omagh",105800,105751
"Population totals",2001,"Lisburn and Castlereagh",124600,124585
"Population totals",2001,"Mid and East Antrim",127500,127452
"Population totals",2001,"Mid Ulster",119100,119112
"Population totals",2001,"Newry, Mourne and Down",153700,153726
"Population totals",2001,"Ards and North Down",149600,149559
"Population totals",2001,"Northern Ireland",1688800,1688838
"Population totals",2002,"Antrim and Newtownabbey",129500,129502
"Population totals",2002,"Armagh City, Banbridge and Craigavon",177400,177357
"Population totals",2002,"Belfast",328500,328471
"Population totals",2002,"Causeway Coast and Glens",132800,132827
"Population totals",2002,"Derry City and Strabane",144300,144280
"Population totals",2002,"Fermanagh and Omagh",106700,106663
"Population totals",2002,"Lisburn and Castlereagh",124800,124757
"Population totals",2002,"Mid and East Antrim",128300,128281
"Population totals",2002,"Mid Ulster",120200,120214
"Population totals",2002,"Newry, Mourne and Down",155000,154984
"Population totals",2002,"Ards and North Down",150200,150198
"Population totals",2002,"Northern Ireland",1697500,1697534
"Population totals",2003,"Antrim and Newtownabbey",130400,130356
"Population totals",2003,"Armagh City, Banbridge and Craigavon",179000,178954
"Population totals",2003,"Belfast",327200,327176
"Population totals",2003,"Causeway Coast and Glens",134200,134152
"Population totals",2003,"Derry City and Strabane",144600,144629
"Population totals",2003,"Fermanagh and Omagh",107300,107332
"Population totals",2003,"Lisburn and Castlereagh",125000,125001
"Population totals",2003,"Mid and East Antrim",129200,129181
"Population totals",2003,"Mid Ulster",121300,121324
"Population totals",2003,"Newry, Mourne and Down",156400,156395
"Population totals",2003,"Ards and North Down",150400,150424
"Population totals",2003,"Northern Ireland",1704900,1704924
"Population totals",2004,"Antrim and Newtownabbey",131100,131067
"Population totals",2004,"Armagh City, Banbridge and Craigavon",180800,180828
"Population totals",2004,"Belfast",326300,326268
"Population totals",2004,"Causeway Coast and Glens",135200,135209
"Population totals",2004,"Derry City and Strabane",145000,145041
"Population totals",2004,"Fermanagh and Omagh",107900,107923
"Population totals",2004,"Lisburn and Castlereagh",125800,125764
"Population totals",2004,"Mid and East Antrim",129900,129925
"Population totals",2004,"Mid Ulster",122600,122645
"Population totals",2004,"Newry, Mourne and Down",158500,158460
"Population totals",2004,"Ards and North Down",150900,150912
"Population totals",2004,"Northern Ireland",1714000,1714042
"Population totals",2005,"Antrim and Newtownabbey",132400,132350
"Population totals",2005,"Armagh City, Banbridge and Craigavon",183900,183933
"Population totals",2005,"Belfast",325500,325483
"Population totals",2005,"Causeway Coast and Glens",136300,136340
"Population totals",2005,"Derry City and Strabane",145400,145447
"Population totals",2005,"Fermanagh and Omagh",108600,108586
"Population totals",2005,"Lisburn and Castlereagh",127000,127043
"Population totals",2005,"Mid and East Antrim",131000,130980
"Population totals",2005,"Mid Ulster",124900,124885
"Population totals",2005,"Newry, Mourne and Down",160500,160453
"Population totals",2005,"Ards and North Down",152200,152233
"Population totals",2005,"Northern Ireland",1727700,1727733
"Population totals",2006,"Antrim and Newtownabbey",133200,133216
"Population totals",2006,"Armagh City, Banbridge and Craigavon",187200,187196
"Population totals",2006,"Belfast",326000,325985
"Population totals",2006,"Causeway Coast and Glens",137400,137438
"Population totals",2006,"Derry City and Strabane",145900,145855
"Population totals",2006,"Fermanagh and Omagh",109300,109344
"Population totals",2006,"Lisburn and Castlereagh",128200,128185
"Population totals",2006,"Mid and East Antrim",132000,132021
"Population totals",2006,"Mid Ulster",127700,127662
