"STATISTIC Label","Year","Single year of age","Females","Males","All persons"
"Mid-year population estimate",1971,"0",15485,15886,31371
"Mid-year population estimate",1971,"1",15432,15957,31389
"Mid-year population estimate",1971,"2",15540,16038,31578
"Mid-year population estimate",1971,"3",15566,16269,31835
"Mid-year population estimate",1971,"4",15418,16187,31605
"Mid-year population estimate",1971,"5",15711,16765,32476
"Mid-year population estimate",1971,"6",16110,17051,33161
"Mid-year population estimate",1971,"7",15888,16621,32509
"Mid-year population estimate",1971,"8",15256,16074,31330
"Mid-year population estimate",1971,"9",14962,15260,30222
"Mid-year population estimate",1971,"10",14457,14762,29219
"Mid-year population estimate",1971,"11",13971,14239,28210
"Mid-year population estimate",1971,"12",13500,13713,27213
"Mid-year population estimate",1971,"13",13556,13767,27323
"Mid-year population estimate",1971,"14",13417,13755,27172
"Mid-year population estimate",1971,"15",12468,13663,26131
"Mid-year population estimate",1971,"16",11951,13346,25297
"Mid-year population estimate",1971,"17",11982,13598,25580
"Mid-year population estimate",1971,"18",12195,12211,24406
"Mid-year population estimate",1971,"19",12181,12205,24386
"Mid-year population estimate",1971,"20",12047,13463,25510
"Mid-year population estimate",1971,"21",12025,13067,25092
"Mid-year population estimate",1971,"22",11843,12508,24351
"Mid-year population estimate",1971,"23",11519,11871,23390
"Mid-year population estimate",1971,"24",11177,11401,22578
"Mid-year population estimate",1971,"25",10530,10472,21002
"Mid-year population estimate",1971,"26",10454,10148,20602
"Mid-year population estimate",1971,"27",10495,10269,20764
"Mid-year population estimate",1971,"28",10326,10234,20560
"Mid-year population estimate",1971,"29",9220,9352,18572
"Mid-year population estimate",1971,"30",8784,8905,17689
"Mid-year population estimate",1971,"31",8835,8891,17726
"Mid-year population estimate",1971,"32",8853,8926,17779
"Mid-year population estimate",1971,"33",8474,8750,17224
"Mid-year population estimate",1971,"34",8530,8820,17350
"Mid-year population estimate",1971,"35",8560,8433,16993
"Mid-year population estimate",1971,"36",8264,8091,16355
"Mid-year population estimate",1971,"37",8133,8003,16136
"Mid-year population estimate",1971,"38",8326,7963,16289
"Mid-year population estimate",1971,"39",8180,7984,16164
"Mid-year population estimate",1971,"40",8408,8152,16560
"Mid-year population estimate",1971,"41",8444,8080,16524
